skill_category,question_text,question_image,option_a,option_a_image,option_b,option_b_image,option_c,option_c_image,option_d,option_d_image,correct_option,TYPE,subjective_answer
cpp_level_1,What is the correct way to start a C++ program?,,start main(),,int main(),,void main(),,begin(),,b,mcq,
cpp_level_1,Which symbol is used to end a statement in C++?,,:,,",",,;,,.,,c,mcq,
cpp_level_1,Which of the following is used to take input from the user in C++?,,printf,,cin,,cout,,scanf,,b,mcq,
cpp_level_1,Which of these is a correct C++ comment?,,/* This is a comment */,,# This is a comment,,<!-- This is a comment -->,,-- This is a comment,,a,mcq,
cpp_level_1,Which data type is used to store a whole number in C++?,,float,,char,,int,,string,,c,mcq,
cpp_level_1,What is the correct way to declare a variable in C++?,,int x = 10;,,x = int 10;,,int = x 10;,,x: int = 10;,,a,mcq,
cpp_level_1,Which keyword is used to define a constant in C++?,,const,,define,,fixed,,static,,a,mcq,
cpp_level_1,Which operator is used for comparison in C++?,,=,,==,,!=,,Both B and C,,d,mcq,
cpp_level_1,What is the correct way to declare and initialize an array in C++?,,"int arr[] = {1, 2, 3};",,"int arr(3) = {1, 2, 3};",,"int arr[3] = {1, 2, 3};",,"int arr[3] = (1, 2, 3);",,c,mcq,
cpp_level_1,Which loop is used when you know the number of iterations in advance?,,while loop,,for loop,,do-while loop,,foreach loop,,b,mcq,
cpp_level_1,Which of the following is the correct syntax for a C++ function declaration?,,"int add(int a, int b);",,"void add(int a, int b);",,"int add(int, int);",,All of the above,,d,mcq,
cpp_level_1,What is the default value of an uninitialized static variable in C++?,,0,,Undefined,,Null,,Random value,,a,mcq,
cpp_level_1,How can you pass an array to a function in C++?,,By value,,By reference,,By pointer,,All of the above,,d,mcq,
cpp_level_1,Which of the following is the correct syntax to define a class in C++?,,class MyClass {};,,MyClass class {};,,class MyClass: {};,,class MyClass: public {};,,a,mcq,
cpp_level_1,What is the purpose of the public keyword in a C++ class?,,To restrict access to class members,,To define the type of the class,,To allow access to class members from outside the class,,To hide the implementation of the class,,c,mcq,
cpp_level_1,Which of the following is used to allocate memory dynamically in C++?,,malloc(),,free(),,new,,alloc(),,c,mcq,
cpp_level_1,Which operator is used to access members of a class in C++?,,. (dot),,-> (arrow),,:: (scope resolution),,Both A and B,,d,mcq,
cpp_level_1,What is the correct syntax to create an object of a class named Person in C++?,,Person obj = new Person();,,Person obj;,,Person obj();,,new Person obj;,,b,mcq,
cpp_level_1,Which of the following is a feature of polymorphism in C++?,,Function overloading,,Operator overloading,,Virtual functions,,All of the above,,d,mcq,
cpp_level_1,Which of these C++ keywords is used to create a constant variable?,,final,,constant,,static,,const,,d,mcq,
